,token,pos,lemma_gold,lemma_pred
35343,sagte,VERB,sagen,sagte
35348,Ein,DET,ein,Ein
35350,Installationsprogramm,NOUN,Programm,Installationsprogramm
35351,soll,AUX,sollen,soll
35355,gewünschten,ADJ,wünschen,gewünschten
35356,Sprachversion,NOUN,Version,Sprachversion
35362,schnelle,ADJ,schnell,schnelle
35363,Umschaltung,NOUN,Schaltung,Umschaltung
35366,Sprachen,NOUN,Sprache,Sprachen
35369,Andererseits,ADV,andererseits,Andererseits
35373,Internet-Funktionen,NOUN,Funktion,Internet-Funktionen
35378,Standard-Clients,NOUN,Clients,Standard-Clients
35380,Betriebssystem,NOUN,System,Betriebssystem
35396,Wann,ADV,wann,Wann
35404,soll,AUX,sollen,soll
35406,wollte,AUX,wollen,wollte
35411,Messebesuchern,NOUN,Besucher,Messebesuchern
35412,stellt,VERB,stellen,stellt
35426,eigenen,ADJ,eigen,eigenen
35427,Angaben,NOUN,Angabe,Angaben
35431,Millionen,NOUN,Million,Millionen
35432,Kunden,NOUN,Kunde,Kunden
35433,gewonnen,VERB,gewinnen,gewonnen
35434,hat,AUX,haben,hat
35436,Auf,ADP,auf,Auf
35444,durchgeführten,ADJ,durchführen,durchgeführten
35448,hat,AUX,haben,hat
35451,neue,ADJ,neu,neue
35452,Varianten,NOUN,Variante,Varianten
35454,IXP1200-Netzwerkprozessorfamilie,NOUN,Familie,IXP1200-Netzwerkprozessorfamilie
35457,neuen,ADJ,neu,neuen
35460,IXA-Software-Entwicklungspaketes,NOUN,Paket,IXA-Software-Entwicklungspaketes
35461,vorgestellt,VERB,vorstellen,vorgestellt
35464,steht,VERB,stehen,steht
35474,angelegtes,ADJ,anlegen,angelegtes
35478,Netzwerke,NOUN,Netzwerk,Netzwerke
35481,angelegt,VERB,anlegen,angelegt
35482,ist,AUX,sein,ist
35484,Im,ADP,im,Im
35485,Mittelpunkt,NOUN,Punkt,Mittelpunkt
35492,StrongArm-Kern,NOUN,Kern,StrongArm-Kern
35494,Netzwerkprozessoren,NOUN,Prozessor,Netzwerkprozessoren
35496,Speziell,ADJ,speziell,Speziell
35499,hat,AUX,haben,hat
35503,Prozessoren,NOUN,Prozessor,Prozessoren
35506,Fehlererkennung,NOUN,Erkennung,Fehlererkennung
35515,automatischer,ADJ,automatisch,automatischer
35516,Fehlerkorrektur,NOUN,Korrektur,Fehlerkorrektur
35520,herausgebracht,VERB,herausbringen,herausgebracht
35522,Diese,PRON,diese,Diese
35525,ATM-Leistung,NOUN,Leistung,ATM-Leistung
35532,Datenraten,NOUN,Rate,Datenraten
35535,MBit/s,NOUN,s,MBit/s
35537,OC-12-Geschwindigkeit,NOUN,Geschwindigkeit,OC-12-Geschwindigkeit
35540,Mit,ADP,mit,Mit
35542,automatischen,ADJ,automatisch,automatischen
35543,Fehlerkorrektur,NOUN,Korrektur,Fehlerkorrektur
35544,verhilft,VERB,verhelfen,verhilft
35553,Telekommunikationsfirmen,NOUN,Firma,Telekommunikationsfirmen
35554,geforderte,ADJ,fordern,geforderte
35555,Übertragungssicherheit,NOUN,Sicherheit,Übertragungssicherheit
35562,Der,DET,der,Der
35563,Elektronik-Riese,NOUN,Riese,Elektronik-Riese
35565,ist,AUX,sein,ist
35568,Einkaufstour,NOUN,Tour,Einkaufstour
35570,Nachdem,SCONJ,nachdem,Nachdem
35572,niederländische,ADJ,niederländisch,niederländische
35578,Chipfirma,NOUN,Firma,Chipfirma
35588,gebracht,VERB,bringen,gebracht
35589,hat,AUX,haben,hat
35591,einigte,VERB,einigen,einigte
35597,koreanischen,ADJ,koreanisch,koreanischen
35612,LG-Geschäftsbereichs,NOUN,Bereich,LG-Geschäftsbereichs
35613,Flüssigkristall-Displays,NOUN,Display,Flüssigkristall-Displays
35614,aufzukaufen,VERB,aufkaufen,aufzukaufen
35616,Für,ADP,für,Für
35618,Milliarden,NOUN,Milliarde,Milliarden
35620,soll,AUX,sollen,soll
35631,hat,AUX,haben,hat
35632,eine,PRON,ein,eine
35635,Fertigungsstätten,NOUN,Stätte,Fertigungsstätten
35642,Alpha-Prozessors,NOUN,Prozessor,Alpha-Prozessors
35643,geschlossen,VERB,schließen,geschlossen
35645,In,ADP,in,In
35654,wurden,AUX,werden,wurden
35656,High-End-Alpha-Server,NOUN,Server,High-End-Alpha-Server
35657,produziert,VERB,produzieren,produziert
35659,Diese,DET,dies,Diese
35664,Werke,NOUN,Werk,Werke
35673,Hauptquartier,NOUN,Quartier,Hauptquartier
35675,Houston,NOUN,unknown,Houston
35686,freigesetzt,VERB,freisetzen,freigesetzt
35689,einige,DET,einig,einige
35691,will,AUX,wollen,will
35699,Der,DET,der,Der
35700,gesockelte,ADJ,sockeln,gesockelte
35702,fährt,VERB,fahren,fährt
35705,Busprotokoll,NOUN,Protokoll,Busprotokoll
35708,Pentium,NOUN,unknown,Pentium
35711,benötigt,VERB,benötigen,benötigt
35714,Chipsätze,NOUN,Chipsatz,Chipsätze
35716,Hier,ADV,hier,Hier
35717,kommt,VERB,kommen,kommt
35725,Codenamen,NOUN,Name,Codenamen
35733,integrierter,ADJ,integrieren,integrierter
35734,VGA,NOUN,unknown,VGA
35737,Grafikcontroller,NOUN,Roller,Grafikcontroller
35739,wird,AUX,werden,wird
35741,Daneben,ADV,daneben,Daneben
35742,verlautete,VERB,verlauten,verlautete
35748,erwarteten,ADJ,erwarten,erwarteten
35749,Pentium,NOUN,unknown,Pentium
35753,Deschutes-Kern,NOUN,Kern,Deschutes-Kern
35755,MMX,NOUN,unknown,MMX
35766,Jahres,NOUN,Jahr,Jahres
35768,wird,AUX,werden,wird
35770,Unklar,ADJ,unklar,Unklar
35771,ist,AUX,sein,ist
35779,L2-Cache,NOUN,Cache,L2-Cache
35782,wird,AUX,werden,wird
35786,seinen,PRON,sein,seinen
35788,BIOS-Updates,NOUN,Update,BIOS-Updates
35790,sind,AUX,sein,sind
35792,Zunächst,ADV,zunächst,Zunächst
35793,war,AUX,sein,war
35795,Pentium-III-Xeon-Version,NOUN,Version,Pentium-III-Xeon-Version
35801,geplant,VERB,planen,geplant
35803,Ausschnitte,NOUN,Ausschnitt,Ausschnitte
35809,OEM-Preise,NOUN,Preis,OEM-Preise
35810,sind,AUX,sein,sind
35812,Prozessorgeflüster,NOUN,Geflüster,Prozessorgeflüster
35815,aktuellen,ADJ,aktuell,aktuellen
35818,nachzulesen,VERB,nachlesen,nachzulesen
35821,So,ADV,so,So
35822,hat,AUX,haben,hat
35830,geplanten,ADJ,planen,geplanten
35831,K7-Prozessor,NOUN,Prozessor,K7-Prozessor
35833,Performance-Spitzenreiter,NOUN,Reiter,Performance-Spitzenreiter
35841,abzukaufen,VERB,abkaufen,abzukaufen
35843,Während,SCONJ,während,Während
35847,Ersatzgeschäftsführer,NOUN,Geschäftsführer,Ersatzgeschäftsführer
35852,Führungsspitze,NOUN,Spitz,Führungsspitze
35855,Rauswurf,NOUN,Wurf,Rauswurf
35860,umstrukturiert,VERB,umstrukturieren,umstrukturiert
35862,muß,AUX,müssen,muß
35868,größeren,ADJ,groß,größeren
35869,Quartalsverlust,NOUN,Verlust,Quartalsverlust
35872,Um,SCONJ,um,Um
35874,schwarzen,ADJ,schwarz,schwarzen
35875,Zahlen,NOUN,Zahl,Zahlen
35879,wird,AUX,werden,wird
35881,mehrere,DET,mehrer,mehrere
35887,Analysten,NOUN,Analyst,Analysten
35894,Arbeitsplätzen,NOUN,Platz,Arbeitsplätzen
35896,Diese,DET,diese,Diese
35897,einschneidenden,ADJ,einschneidend,einschneidenden
35898,Maßnahmen,NOUN,Maßnahme,Maßnahmen
35899,wird,AUX,werden,wird
35904,neuer,ADJ,neu,neuer
35909,anders,ADV,ander,anders
35914,will,AUX,wollen,will
35919,Dauer-Ersatz-CEO,NOUN,CEO,Dauer-Ersatz-CEO
35923,Gegenüber,ADP,gegenüber,Gegenüber
35925,zweiten,ADJ,zweit,zweiten
35928,konnte,AUX,können,konnte
35933,abgeschlossenen,ADJ,abschließen,abgeschlossenen
35934,zweiten,ADJ,zweit,zweiten
35935,Geschäftsquartal,NOUN,Quartal,Geschäftsquartal
35943,Milliarden,NOUN,Milliarde,Milliarden
35944,US-Dollar,NOUN,Dollar,US-Dollar
35947,Der,DET,der,Der
35948,Quartalsumsatz,NOUN,Umsatz,Quartalsumsatz
35949,stieg,VERB,steigen,stieg
35955,Rekordwert,NOUN,Wert,Rekordwert
35958,Milliarden,NOUN,Milliarde,Milliarden
35959,US-Dollar,NOUN,Dollar,US-Dollar
35961,Ausgeklammert,ADJ,ausklammern,Ausgeklammert
35964,Gewinnbilanz,NOUN,Bilanz,Gewinnbilanz
35965,sind,AUX,sein,sind
35971,diversen,ADJ,divers,diversen
35972,Firmeneinkäufe,NOUN,Einkauf,Firmeneinkäufe
35978,alle,DET,all,alle
35982,Wochen,NOUN,Woche,Wochen
35983,tätigt,VERB,tätigen,tätigt
35985,Aber,CCONJ,aber,Aber
35989,dieser,DET,dies,dieser
35991,sieht,VERB,sehen,sieht
35996,Milliarden,NOUN,Milliarde,Milliarden
35997,US-Dollar,NOUN,Dollar,US-Dollar
36012,Millionen,NOUN,Million,Millionen
36013,US-Dollar,NOUN,Dollar,US-Dollar
36014,teuren,ADJ,teuer,teuren
36015,Rückholaktion,NOUN,Aktion,Rückholaktion
36016,fehlerhafter,ADJ,fehlerhaft,fehlerhafter
36017,Chips,NOUN,Chip,Chips
36019,mangelnder,ADJ,mangeln,mangelnder
36024,favorisierten,ADJ,favorisieren,favorisierten
36025,Rambus-Speichers,NOUN,Speicher,Rambus-Speichers
36028,zugehörigen,ADJ,zugehörig,zugehörigen
36029,Rambus-Chipsätze,NOUN,Chipsatz,Rambus-Chipsätze
36031,Bezogen,ADJ,beziehen,Bezogen
36039,Steigerungen,NOUN,Steigerung,Steigerungen
36055,Der,DET,der,Der
36059,beträgt,VERB,betragen,beträgt
36063,US-Dollar,NOUN,Dollar,US-Dollar
36067,Akquirierungskosten,NOUN,Kosten,Akquirierungskosten
36070,wird,AUX,werden,wird
36075,US-Dollar,NOUN,Dollar,US-Dollar
36076,angegeben,VERB,angeben,angegeben
36087,vorgesehen,VERB,vorsehen,vorgesehen
36088,ist,AUX,sein,ist
36090,Die,DET,die,Die
36091,guten,ADJ,gut,guten
36092,Ergebnisse,NOUN,Ergebnis,Ergebnisse
36093,führt,VERB,führen,führt
36096,allem,PRON,all,allem
36098,hohe,ADJ,hoch,hohe
36101,Mikroprozessoren,NOUN,Prozessor,Mikroprozessoren
36103,Flash-Speichern,NOUN,Speicher,Flash-Speichern
36105,Netzwerk-Chips,NOUN,Chip,Netzwerk-Chips
36108,In,ADP,in,In
36111,will,AUX,wollen,will
36113,Marktführer,NOUN,Führer,Marktführer
36116,Milliarden,NOUN,Milliarde,Milliarden
36117,US-Dollar,NOUN,Dollar,US-Dollar
36119,neue,ADJ,neu,neue
36120,Fabriken,NOUN,Fabrik,Fabriken
36125,Führungsposition,NOUN,Position,Führungsposition
36129,Das,PRON,das,Das
36130,lässt,VERB,lassen,lässt
36131,weitere,ADJ,weit,weitere
36132,größere,ADJ,groß,größere
36133,Umsatzsteigerungen,NOUN,Steigerung,Umsatzsteigerungen
36136,nächsten,ADJ,nächste,nächsten
36137,Monate,NOUN,Monat,Monate
36144,Prozessoren,NOUN,Prozessor,Prozessoren
36146,Flash-Bausteine,NOUN,Baustein,Flash-Bausteine
36147,übersteigt,VERB,übersteigen,übersteigt
36153,vorhandene,ADJ,vorhanden,vorhandene
36154,Lieferkapazität,NOUN,Kapazität,Lieferkapazität
36156,Noch,ADV,noch,Noch
36164,zurückgerufenen,ADJ,zurückrufen,zurückgerufenen
36165,"1,13-GHz-Version",NOUN,Version,"1,13-GHz-Version"
36167,Anders,ADJ,anders,Anders
36169,Pentium,NOUN,unknown,Pentium
36182,datiert,VERB,datieren,datiert
36187,neue,ADJ,neu,neue
36189,auflistet,VERB,auflisten,auflistet
36191,Drei,NUM,drei,Drei
36193,waren,AUX,sein,waren
36197,Pentium,NOUN,unknown,Pentium
36199,spezifiziert,VERB,spezifizieren,spezifiziert
36201,Die,DET,die,Die
36203,restlichen,ADJ,restlich,restlichen
36211,möglichen,ADJ,möglich,möglichen
36223,unterschiedlichen,ADJ,unterschiedlich,unterschiedlichen
36226,Speicherattributen,NOUN,Attribut,Speicherattributen
36227,stattfindet,VERB,stattfinden,stattfindet
36229,Diese,DET,diese,Diese
36231,dürften,AUX,dürfen,dürften
36235,Pentium,NOUN,unknown,Pentium
36239,Programme,NOUN,Programm,Programme
36242,dürften,AUX,dürfen,dürften
36245,mysteriöse,ADJ,mysteriös,mysteriöse
36246,Zugriffe,NOUN,Zugriff,Zugriffe
36247,keinen,DET,kein,keinen
36248,Anlass,NOUN,Anlaß,Anlass
36251,Die,DET,die,Die
36258,üblichen,ADJ,üblich,üblichen
36259,Betriebssystemen,NOUN,System,Betriebssystemen
36262,normaler,ADJ,normal,normaler
36264,kommerzieller,ADJ,kommerziell,kommerzieller
36269,Eher,ADV,eher,Eher
36271,kann,AUX,können,kann
36277,Pentium,NOUN,unknown,Pentium
36284,Bei,ADP,bei,Bei
36287,genannten,ADJ,nennen,genannten
36292,virtuellen,ADJ,virtuell,virtuellen
36293,8086-Modus,NOUN,Modus,8086-Modus
36295,löscht,VERB,löschen,löscht
36300,Virtuell-Flag,NOUN,Flag,Virtuell-Flag
36302,Eflags-Register,NOUN,Register,Eflags-Register
36306,Fehlerbehandlungsroutine,NOUN,Routine,Fehlerbehandlungsroutine
36310,weiteres,ADJ,weit,weiteres
36313,virtuellen,ADJ,virtuell,virtuellen
36316,kann,AUX,können,kann
36318,Ein,DET,ein,Ein
36321,tritt,VERB,treten,tritt
36336,normale,ADJ,normal,normale
36337,Fehlerbehandlungsroutine,NOUN,Routine,Fehlerbehandlungsroutine
36340,weiteren,ADJ,weit,weiteren
36341,Fehlers,NOUN,Fehler,Fehlers
36346,Page-Fehler,NOUN,Fehler,Page-Fehler
36349,ausgeführt,VERB,ausführen,ausgeführt
36351,kann,AUX,können,kann
36353,In,ADP,in,In
36354,diesem,DET,dies,diesem
36356,ist,AUX,sein,ist
36360,alles,PRON,all,alles
36368,virtuellen,ADJ,virtuell,virtuellen
36378,ordentlicher,ADJ,ordentlich,ordentlicher
36379,Restart,NOUN,Start,Restart
36381,Apropos,ADV,apropos,Apropos
36386,Pentium,NOUN,unknown,Pentium
36389,Hier,ADV,hier,Hier
36390,herrscht,VERB,herrschen,herrscht
36392,ziemliches,ADJ,ziemlich,ziemliches
36395,So,ADV,so,So
36396,steht,VERB,stehen,steht
36402,gesockelten,ADJ,sockeln,gesockelten
36403,Pentium-III-Versionen,NOUN,Version,Pentium-III-Versionen
36406,neuen,ADJ,neu,neuen
36414,seien,AUX,sein,seien
36418,Desungeachtet,ADJ,desungeachtet,Desungeachtet
36419,findet,VERB,finden,findet
36424,veröffentlichten,ADJ,veröffentlichen,veröffentlichten
36434,FC-PGA-Typen,NOUN,Typus,FC-PGA-Typen
36442,bedeutet,VERB,bedeuten,bedeutet
36444,No,X,no,No
36448,keine,DET,kein,keine
36449,Probleme,NOUN,Problem,Probleme
36450,bekannt,ADJ,bekennen,bekannt
36452,Wer,PRON,wer,Wer
36456,Gedanken,NOUN,Gedanke,Gedanken
36457,trägt,VERB,tragen,trägt
36459,Dual-Prozessor-Boards,NOUN,Board,Dual-Prozessor-Boards
36461,gesockelten,ADJ,sockeln,gesockelten
36462,Pentium-III-Prozessoren,NOUN,Prozessor,Pentium-III-Prozessoren
36467,sollte,AUX,sollen,sollte
36472,alten,ADJ,alt,alten
36473,Maskenversion,NOUN,Version,Maskenversion
36477,Lang,ADJ,lang,Lang
36478,hat,AUX,haben,hat
36480,gedauert,VERB,dauern,gedauert
36482,Nun,ADV,nun,Nun
36483,beginnt,VERB,beginnen,beginnt
36490,"""System-on-a-Chip""-Bausteins",NOUN,Baustein,"""System-on-a-Chip""-Bausteins"
36495,Bereits,ADV,bereits,Bereits
36498,hatte,AUX,haben,hatte
36503,vorgestellt,VERB,vorstellen,vorgestellt
36511,2-D-Grafik,NOUN,Grafik,2-D-Grafik
36515,PCI-Interface,NOUN,Interface,PCI-Interface
36516,enthält,VERB,enthalten,enthält
36518,Er,PRON,er,Er
36519,soll,AUX,sollen,soll
36524,genannten,ADJ,nennen,genannten
36525,Companion-Chip,NOUN,Chip,Companion-Chip
36532,preiswertes,ADJ,preiswert,preiswertes
36537,Settop-Box,NOUN,Box,Settop-Box
36540,Web-Pads,NOUN,Pads,Web-Pads
36543,Produkte,NOUN,Produkt,Produkte
36546,sind,AUX,sein,sind
36550,Jahres,NOUN,Jahr,Jahres
36551,angekündigt,VERB,ankündigen,angekündigt
36553,Etwa,ADV,etwa,Etwa
36555,dürften,AUX,dürfen,dürften
36557,Web-Pads,NOUN,Pads,Web-Pads
36559,andere,ADJ,ander,andere
36560,Produkte,NOUN,Produkt,Produkte
36565,vorgestellten,ADJ,vorstellen,vorgestellten
36566,Vaio-Notebook,NOUN,Notebook,Vaio-Notebook
36572,Crusoe-Prozessor,NOUN,Prozessor,Crusoe-Prozessor
36574,Konkurrenten,NOUN,Konkurrent,Konkurrenten
36581,Kommt,VERB,kommen,Kommt
36583,GHz-Schlacht,NOUN,Schlacht,GHz-Schlacht
36593,Jahres,NOUN,Jahr,Jahres
36597,beginnt,VERB,beginnen,beginnt
36601,frischem,ADJ,frisch,frischem
36606,Athlon-Wafer,NOUN,Wafer,Athlon-Wafer
36608,"0,18-µm-Prozess",NOUN,Prozeß,"0,18-µm-Prozess"
36610,Kupfer-Interconnects,NOUN,Interconnects,Kupfer-Interconnects
36612,Der,DET,der,Der
36613,Startschuß,NOUN,Schuß,Startschuß
36614,soll,AUX,sollen,soll
36617,offiziellen,ADJ,offiziell,offiziellen
36620,Werkes,NOUN,Werk,Werkes
36628,Wenn,SCONJ,wenn,Wenn
36629,alles,PRON,all,alles
36631,verläuft,VERB,verlaufen,verläuft
36633,könnte,AUX,können,könnte
36636,nächsten,ADJ,nächste,nächsten
36637,Jahres,NOUN,Jahr,Jahres
36639,ersten,ADJ,erste,ersten
36640,Prozessoren,NOUN,Prozessor,Prozessoren
36651,Doch,CCONJ,doch,Doch
36655,berichtet,VERB,berichten,berichtet
36657,will,AUX,wollen,will
36660,aller,DET,all,aller
36663,Konkurrenten,NOUN,Konkurrent,Konkurrenten
36667,prestigeträchtige,ADJ,prestigeträchtig,prestigeträchtige
36668,1-GHz-Grenze,NOUN,Grenze,1-GHz-Grenze
36672,Angeblich,ADJ,angeblich,Angeblich
36673,soll,AUX,sollen,soll
36680,geplante,ADJ,planen,geplante
36681,Willamette-Prozessor,NOUN,Prozessor,Willamette-Prozessor
36690,Auf,ADP,auf,Auf
36693,könnte,AUX,können,könnte
36696,Monate,NOUN,Monat,Monate
36700,Außerdem,ADV,außerdem,Außerdem
36701,soll,AUX,sollen,soll
36705,Millionen,NOUN,Million,Millionen
36706,Transistoren,NOUN,Transistor,Transistoren
36707,geschätzte,ADJ,schätzen,geschätzte
36710,größeren,ADJ,groß,größeren
36711,L1-Caches,NOUN,Cache,L1-Caches
36713,integriertem,ADJ,integrieren,integriertem
36714,L2-Cache,NOUN,Cache,L2-Cache
36724,Heute,ADV,heute,Heute
36726,ist,AUX,sein,ist
36731,Um,ADP,um,Um
36738,beginnt,VERB,beginnen,beginnt
36741,großer,ADJ,groß,großer
36743,erwartete,ADJ,erwarten,erwartete
36745,Launch-Event,NOUN,Event,Launch-Event
36748,Transmeta-Prozessors,NOUN,Prozessor,Transmeta-Prozessors
36754,Monaten,NOUN,Monat,Monaten
36755,Wolken,NOUN,Wolke,Wolken
36757,Spekulationen,NOUN,Spekulation,Spekulationen
36760,Hinter,ADP,hinter,Hinter
36764,bekannte,ADJ,bekannt,bekannte
36765,Investoren,NOUN,Investor,Investoren
36768,Microsoft-Mitbegründer,NOUN,Gründer,Microsoft-Mitbegründer
36774,Die,DET,die,Die
36775,meisten,ADJ,meist,meisten
36776,Spekulationen,NOUN,Spekulation,Spekulationen
36782,diversen,ADJ,divers,diversen
36783,Patenten,NOUN,Patent,Patenten
36787,grobes,ADJ,grob,grobes
36790,mögliche,ADJ,möglich,mögliche
36794,Danach,ADV,danach,Danach
36795,dürfte,AUX,dürfen,dürfte
36800,Hardware/Software-Kombination,NOUN,Kombination,Hardware/Software-Kombination
36807,einfachen,ADJ,einfach,einfachen
36808,VLIW-Prozessor,NOUN,Prozessor,VLIW-Prozessor
36815,aufsetzt,VERB,aufsetzen,aufsetzt
36822,anderen,ADJ,ander,anderen
36823,Prozessors,NOUN,Prozessor,Prozessors
36828,optimiert,VERB,optimieren,optimiert
36829,ist,AUX,sein,ist
36832,genanntes,ADJ,nennen,genanntes
36833,Code-Morphing,NOUN,Morphing,Code-Morphing
36835,Die,DET,die,Die
36836,Crusoe-Kombination,NOUN,Kombination,Crusoe-Kombination
36837,ist,AUX,sein,ist
36840,veröffentlichten,ADJ,veröffentlichen,veröffentlichten
36841,Patenten,NOUN,Patent,Patenten
36849,benutzte,ADJ,benutzen,benutzte
36850,Codesequenzen,NOUN,Sequenz,Codesequenzen
36857,fertige,ADJ,fertig,fertige
36858,Übersetzungen,NOUN,Übersetzung,Übersetzungen
36862,abzulegen,VERB,ablegen,abzulegen
36866,wenigen,ADJ,wenig,wenigen
36867,großen,ADJ,groß,großen
36868,Schleifen,NOUN,Schleife,Schleifen
36869,wird,AUX,werden,wird
36875,solche,PRON,solch,solche
36877,vielen,ADJ,viel,vielen
36878,kleinen,ADJ,klein,kleinen
36885,schneller,ADJ,schnell,schneller
36889,aktuellen,ADJ,aktuell,aktuellen
36890,Pentium,NOUN,unknown,Pentium
36893,Ein,DET,ein,Ein
36894,wesentlicher,ADJ,wesentlich,wesentlicher
36898,dürfte,AUX,dürfen,dürfte
36900,niedrige,ADJ,niedrig,niedrige
36901,Stromverbrauch,NOUN,Verbrauch,Stromverbrauch
36903,Crusoe-Prozessors,NOUN,Prozessor,Crusoe-Prozessors
36917,geschätzt,VERB,schätzen,geschätzt
36918,wird,AUX,werden,wird
36920,Das,PRON,das,Das
36921,macht,VERB,machen,macht
36926,laufende,ADJ,laufen,laufende
36930,mobilen,ADJ,mobil,mobilen
36937,Notebooks,NOUN,Notebook,Notebooks
36939,PDAs,NOUN,PDA,PDAs
36941,andere,ADJ,ander,andere
36947,Wahrscheinlich,ADJ,wahrscheinlich,Wahrscheinlich
36948,emuliert,VERB,emulieren,emuliert
36952,kompletten,ADJ,komplett,kompletten
36960,Das,PRON,das,Das
36961,könnte,AUX,können,könnte
36963,weiteren,ADJ,weit,weiteren
36964,Einsparungen,NOUN,Einsparung,Einsparungen
36970,Alle,ADJ,all,Alle
36971,diese,DET,dies,diese
36972,Spekulationen,NOUN,Spekulation,Spekulationen
36973,hat,AUX,haben,hat
36976,Laufe,NOUN,Lauf,Laufe
36980,veröffentlicht,VERB,veröffentlichen,veröffentlicht
36984,Prozessornamen,NOUN,Name,Prozessornamen
36986,Launch-Termin,NOUN,Termin,Launch-Termin
36988,Zielmarkt,NOUN,Markt,Zielmarkt
36991,allen,DET,all,allen
36992,andern,ADJ,ander,andern
36994,gegeben,VERB,geben,gegeben
36999,hat,AUX,haben,hat
37006,Überraschungen,NOUN,Überraschung,Überraschungen
37008,werde,AUX,werden,werde
37010,Seit,ADP,seit,Seit
37011,kurzem,ADJ,kurz,kurzem
37013,amerikanische,ADJ,amerikanisch,amerikanische
37014,Kunden,NOUN,Kunde,Kunden
37015,Athlon-bestückte,ADJ,bestücken,Athlon-bestückte
37016,HP-Pavillon-Rechner,NOUN,Rechner,HP-Pavillon-Rechner
37024,einigen,DET,einig,einigen
37025,ausgewählten,ADJ,auswählen,ausgewählten
37026,Geschäften,NOUN,Geschäft,Geschäften
37028,Allgemein,ADJ,allgemein,Allgemein
37029,wird,AUX,werden,wird
37030,erwartet,VERB,erwarten,erwartet
37039,Athlon-Systeme,NOUN,System,Athlon-Systeme
37041,wird,AUX,werden,wird
37043,Der,DET,der,Der
37048,PC-Hersteller,NOUN,Hersteller,PC-Hersteller
37049,hatte,AUX,haben,hatte
37054,gemacht,VERB,machen,gemacht
37059,Athlon-Prozessor,NOUN,Prozessor,Athlon-Prozessor
37064,wolle,AUX,wollen,wolle
37071,andere,ADJ,ander,andere
37072,hat,AUX,haben,hat
37076,IT-Konzern,NOUN,Konzern,IT-Konzern
37080,gelassen,VERB,lassen,gelassen
37082,Nur,ADV,nur,Nur
37084,bleibt,VERB,bleiben,bleibt
37090,fester,ADJ,fest,fester
37092,verbunden,VERB,verbinden,verbunden
37097,Das,DET,das,Das
37098,PC-Haus,NOUN,Haus,PC-Haus
37099,beschuldigt,VERB,beschuldigen,beschuldigt
37102,Einzelheiten,NOUN,Einzelheit,Einzelheiten
37105,Coppermine-Bug,NOUN,Bug,Coppermine-Bug
37109,verzögerte,ADJ,verzögern,verzögerte
37112,Dell-PCs,NOUN,PC,Dell-PCs
37114,preisgegeben,VERB,preisgeben,preisgegeben
37119,bestreitet,VERB,bestreiten,bestreitet
37123,betont,VERB,betonen,betont
37128,Informationen,NOUN,Information,Informationen
37130,News-Sites,NOUN,Site,News-Sites
37136,entdeckt,VERB,entdecken,entdeckt
37137,habe,AUX,haben,habe
37139,Es,PRON,es,Es
37140,ist,AUX,sein,ist
37147,Nur-Intel-Haus,NOUN,Haus,Nur-Intel-Haus
37149,allem,PRON,all,allem
37152,AMD-freundliche,ADJ,freundlich,AMD-freundliche
37155,Mitarbeiters,NOUN,Mitarbeiter,Mitarbeiters
37160,war,AUX,sein,war
37162,Nun,ADV,nun,Nun
37163,hat,AUX,haben,hat
37167,gehütete,ADJ,hüten,gehütete
37171,Crusoe-Prozessor,NOUN,Prozessor,Crusoe-Prozessor
37172,gelüftet,VERB,lüften,gelüftet
37174,Es,PRON,es,Es
37175,handelt,VERB,handeln,handelt
37180,ganze,ADJ,ganz,ganze
37184,Mobilen,ADJ,mobil,Mobilen
37185,Internet-Prozessoren,NOUN,Prozessor,Internet-Prozessoren
37191,Vierteln,NOUN,Viertel,Vierteln
37202,x86-Prozessoren,NOUN,Prozessor,x86-Prozessoren
37203,erledigt,VERB,erledigen,erledigt
37205,Der,DET,der,Der
37207,Hardware-Prozessor,NOUN,Prozessor,Hardware-Prozessor
37208,arbeitet,VERB,arbeiten,arbeitet
37212,VLIW-Konzept,NOUN,Konzept,VLIW-Konzept
37220,Er,PRON,er,Er
37221,soll,AUX,sollen,soll
37225,ausgeklügelten,ADJ,ausklügeln,ausgeklügelten
37227,genannten,ADJ,nennen,genannten
37228,Code-Morphing-Software,NOUN,Software,Code-Morphing-Software
37235,ISSE-Befehlssatz,NOUN,Satz,ISSE-Befehlssatz
37237,alle,DET,all,alle
37238,PC-Betriebssysteme,NOUN,System,PC-Betriebssysteme
37247,Crusoe,NOUN,unknown,Crusoe
37248,verbraucht,VERB,verbrauchen,verbraucht
37251,hohem,ADJ,hoch,hohem
37254,ausgesprochen,ADJ,aussprechen,ausgesprochen
37264,wird,AUX,werden,wird
37267,Stress,NOUN,unknown,Stress
37277,Pentium,NOUN,unknown,Pentium
37286,reduziert,VERB,reduzieren,reduziert
37291,Tiefschlaf,NOUN,Schlaf,Tiefschlaf
37299,Ähnlich,ADJ,ähnlich,Ähnlich
37307,Corespannung,NOUN,Spannung,Corespannung
37308,verringert,VERB,verringern,verringert
37316,Betriebssystem,NOUN,System,Betriebssystem
37318,Umschaltung,NOUN,Schaltung,Umschaltung
37324,kann,AUX,können,kann
37333,Letzterer,ADJ,letztere,Letzterer
37334,soll,AUX,sollen,soll
37341,Pentium,NOUN,unknown,Pentium
37348,Eine,DET,eine,Eine
